domain,question,answer
Data Science,"What is the difference between supervised and unsupervised learning?","Supervised learning uses labeled data to train models, while unsupervised learning works with unlabeled data to find hidden patterns or groupings."
Data Science,"What is overfitting in machine learning?","Overfitting happens when a model learns noise and details from training data, performing well on training but poorly on unseen test data."
Data Science,"What is underfitting?","Underfitting occurs when a model is too simple to capture the underlying patterns in the data, resulting in poor performance on both training and test sets."
Data Science,"Explain the bias-variance tradeoff.","Bias is error from overly simplistic assumptions, while variance is error from sensitivity to small fluctuations. A good model balances bias and variance to reduce total error."
Data Science,"What is cross-validation?","Cross-validation is a resampling method where data is split into training and validation sets multiple times to evaluate model performance reliably."
Data Science,"What is regularization?","Regularization adds a penalty term to the loss function to prevent overfitting, common techniques include L1 (Lasso) and L2 (Ridge)."
Data Science,"What is the curse of dimensionality?","It refers to difficulties in analyzing and organizing data in high-dimensional spaces, where distance measures lose meaning and models may overfit."
Data Science,"What is PCA and why is it used?","Principal Component Analysis is a dimensionality reduction technique that transforms correlated variables into uncorrelated components while retaining maximum variance."
Data Science,"What is feature engineering?","Feature engineering is the process of creating, transforming, or selecting features to improve model performance."
Data Science,"What is the difference between classification and regression?","Classification predicts categorical outcomes, while regression predicts continuous numeric values."
Data Science,"What is a confusion matrix?","A confusion matrix is a table showing true positives, false positives, true negatives, and false negatives for classification performance evaluation."
Data Science,"What are precision and recall?","Precision is the fraction of true positives among predicted positives, recall is the fraction of true positives identified among all actual positives."
Data Science,"What is F1 score?","The F1 score is the harmonic mean of precision and recall, providing a balance between the two metrics."
Data Science,"What is logistic regression used for?","Logistic regression is used for binary classification problems by modeling the probability of a class using a logistic function."
Data Science,"What is gradient descent?","Gradient descent is an optimization algorithm that iteratively updates model parameters in the direction of the negative gradient to minimize a loss function."
Data Science,"What is the difference between bagging and boosting?","Bagging builds independent models on bootstrap samples and averages them, while boosting builds models sequentially where each new model corrects the errors of the previous one."
Data Science,"What is random forest?","Random forest is an ensemble method that builds multiple decision trees on random subsets of data and features, then averages their predictions."
Data Science,"What is the difference between KNN and K-means?","KNN is a supervised algorithm for classification/regression based on nearest neighbors, while K-means is an unsupervised clustering algorithm that partitions data into k groups."
Data Science,"What is natural language processing (NLP)?","NLP is a field of AI focused on enabling computers to understand, interpret, and generate human language."
Data Science,"What are some common performance metrics for regression?","Common regression metrics include Mean Squared Error (MSE), Root Mean Squared Error (RMSE), Mean Absolute Error (MAE), and R-squared."
Web Development,"What is the difference between frontend and backend development?","Frontend focuses on the client side (UI/UX), while backend handles server-side logic, databases, and APIs."
Web Development,"What are HTML, CSS, and JavaScript used for?","HTML structures web content, CSS styles it, and JavaScript adds interactivity and dynamic behavior."
Web Development,"What is the difference between GET and POST requests?","GET is used to request data from a server and parameters are visible in the URL, while POST sends data in the request body, typically for submitting forms."
Web Development,"What is responsive web design?","Responsive design ensures a website adjusts its layout and elements to fit different screen sizes and devices."
Web Development,"What are cookies?","Cookies are small pieces of data stored on the client’s browser, used for session tracking and personalization."
Web Development,"What is the difference between session storage and local storage?","Local storage saves data with no expiration, while session storage saves data only until the browser session ends."
Web Development,"What is an API?","An API (Application Programming Interface) defines rules that allow applications to communicate with each other."
Web Development,"What is REST API?","REST API is an architectural style for building APIs that use HTTP methods like GET, POST, PUT, DELETE to perform operations on resources."
Web Development,"What is AJAX?","AJAX allows web pages to update asynchronously by exchanging data with the server without reloading the page."
Web Development,"What is DOM in JavaScript?","The DOM (Document Object Model) represents the structure of an HTML document as a tree that can be modified using JavaScript."
Web Development,"What are media queries in CSS?","Media queries allow applying different CSS styles depending on device screen size or characteristics."
Web Development,"What is the difference between SQL and NoSQL databases?","SQL databases are relational and use structured queries, while NoSQL databases are non-relational, flexible, and can store unstructured data."
Web Development,"What is cross-site scripting (XSS)?","XSS is a security vulnerability where attackers inject malicious scripts into web pages viewed by other users."
Web Development,"What is CSRF?","Cross-Site Request Forgery (CSRF) is an attack where a user is tricked into performing unwanted actions on a web application they are authenticated in."
Web Development,"What is the difference between React and Angular?","React is a JavaScript library for building UI components, while Angular is a full-fledged framework with built-in features like routing and state management."
Web Development,"What is the difference between client-side rendering and server-side rendering?","Client-side rendering builds the UI in the browser using JavaScript, while server-side rendering generates the HTML on the server before sending it to the client."
Web Development,"What is Node.js?","Node.js is a runtime environment that allows running JavaScript on the server side."
Web Development,"What is a CDN?","A Content Delivery Network (CDN) is a network of servers that deliver cached static content to users from the nearest location to improve speed."
Web Development,"What is version control and why is Git used?","Version control tracks changes in code over time, and Git is a distributed version control system widely used for collaboration and project management."
AI/ML,"What is the difference between AI and ML?","AI is the broader field of creating machines that mimic human intelligence, while ML is a subset of AI that enables systems to learn from data."
AI/ML,"What is supervised learning?","Supervised learning uses labeled data to train models to predict outcomes for unseen inputs."
AI/ML,"What is unsupervised learning?","Unsupervised learning works on unlabeled data to find hidden patterns, like clustering and dimensionality reduction."
AI/ML,"What is reinforcement learning?","Reinforcement learning is a type of ML where agents learn by interacting with an environment and receiving rewards or penalties."
AI/ML,"What is overfitting in machine learning?","Overfitting occurs when a model learns training data too well, including noise, and performs poorly on new data."
AI/ML,"How can you prevent overfitting?","Methods include cross-validation, regularization, dropout, and using more training data."
AI/ML,"What is bias-variance tradeoff?","Bias is error from overly simple models, variance is error from overly complex models. Balancing them improves generalization."
AI/ML,"What are features in ML?","Features are individual measurable properties or inputs used by a model for prediction."
AI/ML,"What is feature scaling?","Feature scaling normalizes or standardizes data so that all features contribute equally to model training."
AI/ML,"What is gradient descent?","Gradient descent is an optimization algorithm that minimizes a loss function by iteratively updating model parameters."
AI/ML,"What is a confusion matrix?","A confusion matrix shows actual vs predicted classifications, helping evaluate classification models."
AI/ML,"What is precision and recall?","Precision is the ratio of correctly predicted positives to total predicted positives, recall is the ratio of correctly predicted positives to all actual positives."
AI/ML,"What is F1-score?","F1-score is the harmonic mean of precision and recall, balancing both metrics."
AI/ML,"What is a neural network?","A neural network is a series of interconnected nodes (neurons) organized in layers that can model complex patterns in data."
AI/ML,"What is deep learning?","Deep learning is a subset of ML that uses neural networks with many layers to model highly complex data."
AI/ML,"What is transfer learning?","Transfer learning reuses a pre-trained model on a new but related task, saving time and resources."
AI/ML,"What is NLP in AI?","Natural Language Processing (NLP) is the branch of AI focused on enabling computers to understand, interpret, and generate human language."
AI/ML,"What are embeddings in NLP?","Embeddings are dense vector representations of words or sentences that capture semantic meaning."
AI/ML,"What is the difference between classification and regression?","Classification predicts categorical outcomes (e.g., spam/not spam), while regression predicts continuous outcomes (e.g., house price)."
AI/ML,"What is an ensemble method in ML?","Ensemble methods combine multiple models (like bagging, boosting, stacking) to improve prediction accuracy and robustness."
