domain,question,answer
AI,"What is the difference between symbolic AI and sub-symbolic AI?","Symbolic AI uses explicit rules and logic (expert systems), while sub-symbolic AI relies on data-driven learning (neural networks). Modern AI often combines both."
AI,"Can you explain the trade-offs between rule-based systems and machine learning models?","Rule-based systems are interpretable but rigid, while ML models adapt to data but are often black-box. Choice depends on use case requirements."
AI,"What are the main challenges in Natural Language Processing (NLP)?","Ambiguity, context understanding, sarcasm detection, multilingual support, and low-resource languages are major challenges in NLP."
AI,"How does reinforcement learning differ from supervised learning in real-world applications?","Supervised learning learns from labeled data, while RL learns by trial-and-error interactions with an environment, useful in robotics, gaming, and recommendation systems."
AI,"What is the role of knowledge graphs in AI applications?","Knowledge graphs represent entities and their relationships, enabling semantic search, recommendation, and reasoning in AI systems."
AI,"What are the ethical concerns in deploying AI models?","Bias, fairness, interpretability, privacy, job displacement, and accountability are key concerns when deploying AI in real-world applications."
AI,"How would you design an AI system for fraud detection in banking?","Combine anomaly detection with supervised classification on transaction history, use feature engineering, and ensure explainability for compliance."
AI,"What are transfer learning and its benefits in AI?","Transfer learning reuses knowledge from pre-trained models on new tasks with limited data, reducing training cost and improving performance."
AI,"What is the difference between strong AI and weak AI?","Weak AI is domain-specific (chatbots, image classifiers), while strong AI would have human-like reasoning and adaptability, which remains theoretical."
AI,"How do AI agents handle uncertainty in real-world environments?","They use probabilistic models (Bayesian networks, Markov Decision Processes) and reinforcement learning to act under incomplete or noisy information."
ML,"How do you handle imbalanced datasets in ML?","Techniques include resampling (oversampling/undersampling), using weighted loss functions, anomaly detection approaches, and generating synthetic data with SMOTE."
ML,"Can you explain the bias-variance tradeoff?","Bias is error from oversimplified models, variance is error from overly complex models. The tradeoff is balancing underfitting and overfitting."
ML,"What are ensemble methods and why are they effective?","Ensemble methods like Random Forest and Gradient Boosting combine multiple models to reduce variance, bias, and improve generalization."
ML,"How does a Random Forest differ from a Decision Tree?","Decision Trees are prone to overfitting, while Random Forest aggregates multiple trees trained on subsets of data to improve robustness."
ML,"When would you use logistic regression instead of a neural network?","Logistic regression is interpretable and efficient for linearly separable problems, while neural networks handle complex, non-linear relationships."
ML,"What are the differences between L1 and L2 regularization?","L1 encourages sparsity by penalizing absolute weights, while L2 penalizes squared weights, leading to small but non-zero coefficients."
ML,"Explain feature selection vs feature extraction.","Feature selection picks the most relevant features, while feature extraction (like PCA) transforms features into new dimensions."
ML,"What is the role of learning rate in gradient descent?","It controls step size; too high causes divergence, too low slows convergence. Adaptive methods (Adam, RMSProp) adjust rates automatically."
ML,"How do you evaluate a classification model on unbalanced data?","Use metrics like precision, recall, F1-score, ROC-AUC instead of accuracy, as accuracy can be misleading on imbalanced datasets."
ML,"What is the curse of dimensionality in ML?","As dimensions increase, data becomes sparse and distance metrics lose meaning, leading to degraded performance of ML models."
Data Science,"How do you handle missing data in datasets?","Methods include deletion, imputation (mean/median/mode, regression, kNN), or using ML models designed to handle missing values."
Data Science,"What steps do you follow in building a predictive model?","Steps: problem definition, data collection, preprocessing, feature engineering, model selection, training, evaluation, deployment, and monitoring."
Data Science,"What is the difference between supervised and unsupervised data analysis?","Supervised involves labeled outcomes (classification/regression), unsupervised finds hidden patterns (clustering, dimensionality reduction)."
Data Science,"How do you identify outliers in data?","Methods include statistical approaches (z-score, IQR), visualization (boxplot, scatter), and model-based methods (Isolation Forest, DBSCAN)."
Data Science,"What is the role of feature engineering in data science?","Feature engineering creates meaningful input variables that improve model accuracy, often more impactful than model choice itself."
Data Science,"Explain the difference between Type I and Type II errors.","Type I error rejects a true null hypothesis (false positive), Type II fails to reject a false null hypothesis (false negative)."
Data Science,"What are some common pitfalls in data science projects?","Pitfalls include data leakage, ignoring domain knowledge, overfitting, poor feature selection, and lack of reproducibility."
Data Science,"What are data pipelines and why are they important?","Data pipelines automate data ingestion, cleaning, transformation, and storage to ensure consistency and scalability."
Data Science,"How do you ensure reproducibility in data science work?","By using version control, fixed random seeds, documentation, environment management (Docker, Conda), and automated pipelines."
